Table with row headings in column A and column headings in rows 4 to 7.,,,,,,,,,,,,,,,,,,,,
Impact on Poverty of Alternative Resource Measures by Age: 1981 to 2013,,,,,,,,,,,,,,,,,,,,
NOTE: Numbers in thousands. People as of March of the following year.,,,,,,,,,,,,,,,,,,,,
Year,Official Poverty,,,Poverty Estimates with Alternative Resource Definitions,,,,,,,,Impact of Alternative Resource Definitions on Poverty,,,,,,,,
,,,,Money Income Minus Social Security,,Money Income Minus Unemployment Insurance Compensation,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,,Money Income Minus Social Security,,Money Income Minus Unemployment Insurance Compensation,,Money Income Plus SNAP (Food Stamps),,Money Income Plus Federal Earned Income Tax Credit,,
,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,Below Poverty Level,,
,Total,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,
ALL AGES,,,,,,,,,,,,,,,,,,,,
2013," 312,965 "," 45,318 ", 14.5 ," 67,429 ", 21.6 ," 46,545 ", 14.9 ," 41,637 ", 13.3 ," 39,998 ", 12.8 ," 22,111 ", 7.1 ," 1,227 ", 0.4 ,"-3,681",-1.2,"-5,320",-1.7,
2012," 310,648 "," 46,496 ", 15.0 ," 68,684 ", 22.1 ," 48,239 ", 15.5 ," 42,518 ", 13.7 ," 40,999 ", 13.2 ," 22,188 ", 7.1 ," 1,743 ", 0.5 ,"-3,978",-1.3,"-5,497",-1.8,
2011," 308,456 "," 46,247 ", 15.0 ," 67,663 ", 21.9 ," 48,553 ", 15.7 ," 42,322 ", 13.7 ," 40,560 ", 13.2 ," 21,415 ", 7.0 ," 2,306 ", 0.8 ,"-3,925",-1.3,"-5,687",-1.8,
2010," 306,130 "," 46,343 ", 15.1 ," 66,830 ", 21.8 ," 49,560 ", 16.2 ," 42,426 ", 13.9 ," 40,968 ", 13.4 ," 20,487 ", 6.7 ," 3,217 ", 1.1 ,"-3,917",-1.3,"-5,375",-1.8,
2009," 303,820 "," 43,569 ", 14.3 ," 64,021 ", 21.1 ," 46,893 ", 15.4 ," 39,919 ", 13.1 ," 38,243 ", 12.6 ," 20,452 ", 6.7 ," 3,324 ", 1.1 ,"-3,649",-1.2,"-5,326",-1.8,
2008," 301,041 "," 39,829 ", 13.2 ," 59,637 ", 19.8 ," 40,734 ", 13.5 ," 37,591 ", 12.5 ," 35,895 ", 11.9 ," 19,808 ", 6.6 , 905 , 0.3 ,"-2,238",-0.7,"-3,934",-1.3,
2007," 298,699 "," 37,276 ", 12.5 ," 56,293 ", 18.8 ," 37,763 ", 12.6 ," 35,585 ", 11.9 ," 32,940 ", 11.0 ," 19,017 ", 6.4 , 488 , 0.2 ,"-1,691",-0.6,"-4,335",-1.5,
2006," 296,450 "," 36,460 ", 12.3 ," 54,574 ", 18.4 ," 37,033 ", 12.5 ," 34,701 ", 11.7 ," 32,320 ", 10.9 ," 18,114 ", 6.1 , 573 , 0.2 ,"-1,759",-0.6,"-4,139",-1.4,
